season_label,winter_year,visits,avg_snowfall_index,pass_era
1982-83,1983,8078362.0,227.4,pre_epic
1997-98,1998,11941777.0,170.7,pre_epic
1999-2000,2000,10861892.0,158.2,pre_epic
2009-10,2010,11857879.0,166.1,epic_only
2013-14,2014,12600000.0,184.2,epic_only
2018-19,2019,13800000.0,206.0,epic_and_ikon
2020-21,2021,12000000.0,146.1,epic_and_ikon
2021-22,2022,13900000.0,164.0,epic_and_ikon
2022-23,2023,14800000.0,205.4,epic_and_ikon
2023-24,2024,14000000.0,200.2,epic_and_ikon
2024-25,2025,13800000.0,173.1,epic_and_ikon
2025-26,2026,10500000.0,94.5,epic_and_ikon
